video_id,song_title,channel_name,original_title,audio_file,youtube_link
whRaLZZ2yTo,-_Por_de_mi,Mishima,Mishima - Por de mi,whRaLZZ2yTo.mp3,https://www.youtube.com/watch?v=whRaLZZ2yTo
lklzK3wZ6Jc,-_Sé_que_ets_tu,Mishima,Mishima - Sé que ets tu,lklzK3wZ6Jc.mp3,https://www.youtube.com/watch?v=lklzK3wZ6Jc
lpxcOdcXgoc,-_Un_lloc_que_no_recordi,Mishima,Mishima - Un lloc que no recordi,lpxcOdcXgoc.mp3,https://www.youtube.com/watch?v=lpxcOdcXgoc
FjXpFLY-dFk,-_Gener_sobri,Mishima,Mishima - Gener sobri,FjXpFLY-dFk.mp3,https://www.youtube.com/watch?v=FjXpFLY-dFk
Ejkly0oaIZ4,-_God's_Move_(Lee_Sedol),Mishima,Mishima - God's Move (Lee Sedol),Ejkly0oaIZ4.mp3,https://www.youtube.com/watch?v=Ejkly0oaIZ4
2mBINMD_ecY,-_Mia_Khalifa,Mishima,Mishima - Mia Khalifa,2mBINMD_ecY.mp3,https://www.youtube.com/watch?v=2mBINMD_ecY
N6WYDfmJ-tU,-_Cotó,Mishima,Mishima - Cotó,N6WYDfmJ-tU.mp3,https://www.youtube.com/watch?v=N6WYDfmJ-tU
G-TXe6YPVMg,-_El_llibre_de_l'amor,Mishima,Mishima - El llibre de l'amor,G-TXe6YPVMg.mp3,https://www.youtube.com/watch?v=G-TXe6YPVMg
DEFE1VDb95A,-_Ens_crèiem_únics,Mishima,Mishima - Ens crèiem únics,DEFE1VDb95A.mp3,https://www.youtube.com/watch?v=DEFE1VDb95A
_3F07b7NK9E,-_Vapor,Mishima,Mishima - Vapor,_3F07b7NK9E.mp3,https://www.youtube.com/watch?v=_3F07b7NK9E
tVGaWfoISlw,ESTELS_AL_VENT_(Amb_lletra)_ELS_CATARRES_(BIG_BANG_2015),Els Catarres,ESTELS AL VENT (Amb lletra) - ELS CATARRES (BIG BANG 2015),tVGaWfoISlw.mp3,https://www.youtube.com/watch?v=tVGaWfoISlw
QYyJciHqfCw,SOTA_LA_LLUM_DEL_SOL_(amb_lletra)_ELS_CATARRES_(BIG_BANG),Els Catarres,SOTA LA LLUM DEL SOL (amb lletra) - ELS CATARRES (BIG BANG),QYyJciHqfCw.mp3,https://www.youtube.com/watch?v=QYyJciHqfCw
S30liQgEaHM,EL_MÓN_ÉS_TEU_(amb_lletra)_ELS_CATARRES_(BIG_BANG),Els Catarres,EL MÓN ÉS TEU (amb lletra) - ELS CATARRES (BIG BANG),S30liQgEaHM.mp3,https://www.youtube.com/watch?v=S30liQgEaHM
5N7PWYpjxtE,EL_TEU_COR_ÉS_UN_TAMBOR_(amb_lletra)_ELS_CATARRES_(BIG_BANG),Els Catarres,EL TEU COR ÉS UN TAMBOR (amb lletra) - ELS CATARRES (BIG BANG),5N7PWYpjxtE.mp3,https://www.youtube.com/watch?v=5N7PWYpjxtE
UWMX-u1KJ5U,NIT_D'AGOST_(amb_lletra)_ELS_CATARRES_(BIG_BANG),Els Catarres,NIT D'AGOST (amb lletra) - ELS CATARRES (BIG BANG),UWMX-u1KJ5U.mp3,https://www.youtube.com/watch?v=UWMX-u1KJ5U
f9NxN4WMIfM,SOM_DE_FOC_(amb_lletra)_ELS_CATARRES_(BIG_BANG),Els Catarres,SOM DE FOC (amb lletra) - ELS CATARRES (BIG BANG),f9NxN4WMIfM.mp3,https://www.youtube.com/watch?v=f9NxN4WMIfM
tknpkvYK6ZY,LLUNA_NOVA_(amb_lletra)_ELS_CATARRES_(BIG_BANG),Els Catarres,LLUNA NOVA (amb lletra) - ELS CATARRES (BIG BANG),tknpkvYK6ZY.mp3,https://www.youtube.com/watch?v=tknpkvYK6ZY
49O52FZrUmM,COR_CANÍBAL_(amb_lletra)_ELS_CATARRES_(BIG_BANG),Els Catarres,COR CANÍBAL (amb lletra) - ELS CATARRES (BIG BANG),49O52FZrUmM.mp3,https://www.youtube.com/watch?v=49O52FZrUmM
98yVjh0EZIs,EL_SETGE_ELS_CATARRES_(BIG_BANG),Els Catarres,EL SETGE - ELS CATARRES (BIG BANG),98yVjh0EZIs.mp3,https://www.youtube.com/watch?v=98yVjh0EZIs
gfaoxc-lsj8,L'ODISSEA_(amb_lletra)_ELS_CATARRES_(BIG_BANG),Els Catarres,L'ODISSEA (amb lletra) - ELS CATARRES (BIG BANG),gfaoxc-lsj8.mp3,https://www.youtube.com/watch?v=gfaoxc-lsj8
xVPK_Ig2tgE,GANDIA_1924_(amb_lletra)_(BIG_BANG),Els Catarres,GANDIA 1924 (amb lletra) - (BIG BANG),xVPK_Ig2tgE.mp3,https://www.youtube.com/watch?v=xVPK_Ig2tgE
SM26ZgwpURw,-_BIG_BANG_[2015]_(CD_Complet),Els Catarres,Els Catarres - BIG BANG [2015] (CD Complet),SM26ZgwpURw.mp3,https://www.youtube.com/watch?v=SM26ZgwpURw
98BSvBvSXhE,Mishima_Tot_torna_a_començar_WaaauTV,waaautv,Mishima - Tot torna a començar - WaaauTV,98BSvBvSXhE.mp3,https://www.youtube.com/watch?v=98BSvBvSXhE
6XWa7L56uxA,Un_tros_de_fang_MISHIMA,RUMIWORKS TV,Un tros de fang - MISHIMA,6XWa7L56uxA.mp3,https://www.youtube.com/watch?v=6XWa7L56uxA
U6Ax3ZcdWQ4,Mishima_Com_Abans,Enric Garriga Sanchez,Mishima - Com Abans,U6Ax3ZcdWQ4.mp3,https://www.youtube.com/watch?v=U6Ax3ZcdWQ4
C-GDuA_ab_M,MISHIMA_l'olor_de_la_nit,Eriocefalus,"MISHIMA ""l'olor de la nit""",C-GDuA_ab_M.mp3,https://www.youtube.com/watch?v=C-GDuA_ab_M
_USM1DH5bs8,Deixa'm_creure,badhill,Deixa'm creure,_USM1DH5bs8.mp3,https://www.youtube.com/watch?v=_USM1DH5bs8
oEck3F5zwmQ,Mishima_Cara_bonica._Teatre_Principal._Palma_de_Mallorca_22042011,menosdesorden,"Mishima ""Cara bonica"". Teatre Principal. Palma de Mallorca 22/04/2011",oEck3F5zwmQ.mp3,https://www.youtube.com/watch?v=oEck3F5zwmQ
O5gFr-Q7qbY,Mishima_Només_era_una_part_de_tu,Guillem Ber Tar,Mishima - Només era una part de tu,O5gFr-Q7qbY.mp3,https://www.youtube.com/watch?v=O5gFr-Q7qbY
W1k64iGnIOE,mishima.guspira_estel_o_carícia,ambsenseres,mishima.guspira estel o carícia,W1k64iGnIOE.mp3,https://www.youtube.com/watch?v=W1k64iGnIOE
RwC9th4CDnw,Mishima_Tornaràs_a_tremolar,badhill,Mishima - Tornaràs a tremolar,RwC9th4CDnw.mp3,https://www.youtube.com/watch?v=RwC9th4CDnw
jfMmRftilT0,"mishima,_en_arribar_la_tardor.wmv",somiejar,"mishima, en arribar la tardor.wmv",jfMmRftilT0.mp3,https://www.youtube.com/watch?v=jfMmRftilT0
KQv2YvsdrnQ,2._En_caravana_Txarango,Txarango Oficial,2. En caravana - Txarango,KQv2YvsdrnQ.mp3,https://www.youtube.com/watch?v=KQv2YvsdrnQ
4EEiCA3K0HA,5._Volveremos_Txarango,Txarango Oficial,5. Volveremos - Txarango,4EEiCA3K0HA.mp3,https://www.youtube.com/watch?v=4EEiCA3K0HA
mYGozcBzkdE,6._Pren_el_carrer_Txarango,Txarango Oficial,6. Pren el carrer - Txarango,mYGozcBzkdE.mp3,https://www.youtube.com/watch?v=mYGozcBzkdE
MrmFOlHT1OM,7._No_deixis_de_caminar_Txarango,Txarango Oficial,7. No deixis de caminar - Txarango,MrmFOlHT1OM.mp3,https://www.youtube.com/watch?v=MrmFOlHT1OM
K1bpQ0p3UvI,8._Un_pam_de_nas_Txarango,Txarango Oficial,8. Un pam de nas - Txarango,K1bpQ0p3UvI.mp3,https://www.youtube.com/watch?v=K1bpQ0p3UvI
S5UD_f4CMcc,9._Sueña_como_un_niño_Txarango,Txarango Oficial,9. Sueña como un niño - Txarango,S5UD_f4CMcc.mp3,https://www.youtube.com/watch?v=S5UD_f4CMcc
A9XFd-mU41M,10._Per_art_de_màgia_Txarango,Txarango Oficial,10. Per art de màgia - Txarango,A9XFd-mU41M.mp3,https://www.youtube.com/watch?v=A9XFd-mU41M
eQb34J06bSI,11._Sempre_balla_Txarango,Txarango Oficial,11. Sempre balla - Txarango,eQb34J06bSI.mp3,https://www.youtube.com/watch?v=eQb34J06bSI
GFav2hjkLjE,12._Arriba_la_nit_Txarango,Txarango Oficial,12. Arriba la nit - Txarango,GFav2hjkLjE.mp3,https://www.youtube.com/watch?v=GFav2hjkLjE
nddq3MAMdf8,Camp_d'Oliveres_amb_Tomeu_Penya_POSTALS_(2013),Els Catarres,Camp d'Oliveres - Els Catarres amb Tomeu Penya - POSTALS (2013),nddq3MAMdf8.mp3,https://www.youtube.com/watch?v=nddq3MAMdf8
eGMnXoS-lZg,Vull_estar_amb_tu_POSTALS_(2013),Els Catarres,Vull estar amb tu - Els Catarres - POSTALS (2013),eGMnXoS-lZg.mp3,https://www.youtube.com/watch?v=eGMnXoS-lZg
FZv9DOhhDLk,Rock&Roll_POSTALS_(2013),Els Catarres,Rock&Roll - Els Catarres - POSTALS (2013),FZv9DOhhDLk.mp3,https://www.youtube.com/watch?v=FZv9DOhhDLk
TcmKqeCM-tE,A_tot_color_POSTALS_(2013),Els Catarres,A tot color - Els Catarres - POSTALS (2013),TcmKqeCM-tE.mp3,https://www.youtube.com/watch?v=TcmKqeCM-tE
Nm7SbKNQS_4,De_pares_a_Fills_POSTALS_(2013),Els Catarres,De pares a Fills - Els Catarres - POSTALS (2013),Nm7SbKNQS_4.mp3,https://www.youtube.com/watch?v=Nm7SbKNQS_4
mO5P7HG7p0k,Utopia_POSTALS_(2013),Els Catarres,Utopia - Els Catarres - POSTALS (2013),mO5P7HG7p0k.mp3,https://www.youtube.com/watch?v=mO5P7HG7p0k
XmO0x_0j7V4,Souvenirs_amb_Núria_Feliu_POSTALS_(2013),Els Catarres,Souvenirs - Els Catarres amb Núria Feliu - POSTALS (2013),XmO0x_0j7V4.mp3,https://www.youtube.com/watch?v=XmO0x_0j7V4
H1H1ukgwj70,T'hi_va_la_vida_POSTALS_(2013),Els Catarres,T'hi va la vida - Els Catarres - POSTALS (2013),H1H1ukgwj70.mp3,https://www.youtube.com/watch?v=H1H1ukgwj70
Tmp4GRg-2Zw,La_Porta_del_Cel_(amb_lletra)_POSTALS_(2013),Els Catarres,La Porta del Cel (amb lletra) - Els Catarres - POSTALS (2013),Tmp4GRg-2Zw.mp3,https://www.youtube.com/watch?v=Tmp4GRg-2Zw
uQBmf6TUEf0,PAU_VALLVÉ_Ens_hem_guanyat_l'estiu_(VIDEOCLIP),Pau Vallvé,PAU VALLVÉ - Ens hem guanyat l'estiu (VIDEOCLIP),uQBmf6TUEf0.mp3,https://www.youtube.com/watch?v=uQBmf6TUEf0
a6geaap6W3M,PAU_VALLVÉ_AVUI_L'ÚNIC_QUE_VULL_(Videoclip),Pau Vallvé,PAU VALLVÉ - AVUI L'ÚNIC QUE VULL (Videoclip),a6geaap6W3M.mp3,https://www.youtube.com/watch?v=a6geaap6W3M
s4d70XeI6g0,"PAU_VALLVÉ_I_Cantar!_(Videoclip)_[Vídeo-resum_de_L'Auditori_de_Barcelona,_11122024]",Pau Vallvé,"PAU VALLVÉ - I Cantar! (Videoclip) [Vídeo-resum de L'Auditori de Barcelona, 11/12/2024]",s4d70XeI6g0.mp3,https://www.youtube.com/watch?v=s4d70XeI6g0
EJaHfEqrhJ8,PAU_VALLVÉ_Protagonistes_(Concert_a_l'Apolo_2023),Pau Vallvé,PAU VALLVÉ - Protagonistes (Concert a l'Apolo 2023),EJaHfEqrhJ8.mp3,https://www.youtube.com/watch?v=EJaHfEqrhJ8
fx2s_pV5usw,Menorca_estiu_2023_Cançó_Buguenvíl·lies,Pau Vallvé,Menorca estiu 2023 | Cançó: Pau Vallvé - Buguenvíl·lies,fx2s_pV5usw.mp3,https://www.youtube.com/watch?v=fx2s_pV5usw
bKtJQejhpXk,PAU_VALLVÉ_Aquest_cop_sí_(Resum_final_de_gira_al_Razz_02022024),Pau Vallvé,PAU VALLVÉ - Aquest cop sí (Resum final de gira al Razz 02/02/2024),bKtJQejhpXk.mp3,https://www.youtube.com/watch?v=bKtJQejhpXk
8_mw3CRxogg,Tres_dies_pel_Pirineu_Cançó_Berenar_Sopar_(fragment),Pau Vallvé,Tres dies pel Pirineu | Cançó: Pau Vallvé - Berenar Sopar (fragment),8_mw3CRxogg.mp3,https://www.youtube.com/watch?v=8_mw3CRxogg
ywIpSMhWQCk,PAU_VALLVÉ_Endavant_(Videoclip),Pau Vallvé,PAU VALLVÉ - Endavant (Videoclip),ywIpSMhWQCk.mp3,https://www.youtube.com/watch?v=ywIpSMhWQCk
Qt6FFy2LiMA,PAU_VALLVÉ_CONCERT_2018_Amics_dels_cirerers_(Live),Pau Vallvé,PAU VALLVÉ - CONCERT 2018 - Amics dels cirerers (Live),Qt6FFy2LiMA.mp3,https://www.youtube.com/watch?v=Qt6FFy2LiMA
6IRi5ntarVI,PAU_VALLVÉ_'Penalti_i_gol_és_gol'_+_'Hivernar_amb_esportivitat'_(Assaig_a_Fontderola),Pau Vallvé,PAU VALLVÉ - 'Penalti i gol és gol' + 'Hivernar amb esportivitat' (Assaig a Fontderola),6IRi5ntarVI.mp3,https://www.youtube.com/watch?v=6IRi5ntarVI
d5al6cx7OFY,PAU_VALLVÉ_17820_(videoclip),Pau Vallvé,PAU VALLVÉ - 17820 (videoclip),d5al6cx7OFY.mp3,https://www.youtube.com/watch?v=d5al6cx7OFY
